FECHA;Precipitación: l/m2
22/07/2014;0
23/07/2014;0
24/07/2014;0
25/07/2014;
26/07/2014;
27/07/2014;0
28/07/2014;
29/07/2014;0
30/07/2014;0
31/07/2014;0
01/08/2014;
02/08/2014;
03/08/2014;
04/08/2014;
05/08/2014;0
06/08/2014;0
07/08/2014;
08/08/2014;0
09/08/2014;0
10/08/2014;0
11/08/2014;0
12/08/2014;0
13/08/2014;0
14/08/2014;0
15/08/2014;0
16/08/2014;0
17/08/2014;0
18/08/2014;0
19/08/2014;0
20/08/2014;0
21/08/2014;0
22/08/2014;0
23/08/2014;0
24/08/2014;0
25/08/2014;0
26/08/2014;0
27/08/2014;0
28/08/2014;0
29/08/2014;0
30/08/2014;0
31/08/2014;0
01/09/2014;0
02/09/2014;0
03/09/2014;0
04/09/2014;0
05/09/2014;0
06/09/2014;0
08/09/2014;0
09/09/2014;0
10/09/2014;0
11/09/2014;0.1
12/09/2014;0
13/09/2014;0
14/09/2014;0
15/09/2014;0
16/09/2014;1.3
17/09/2014;11.3
18/09/2014;0.1
19/09/2014;0
20/09/2014;0
21/09/2014;0
22/09/2014;0.1
23/09/2014;0
24/09/2014;2
25/09/2014;0
26/09/2014;0.6
27/09/2014;0
28/09/2014;15.6
29/09/2014;0
30/09/2014;0
01/10/2014;0
02/10/2014;0
03/10/2014;0
04/10/2014;0
05/10/2014;0
06/10/2014;0
07/10/2014;0
08/10/2014;0
09/10/2014;0
10/10/2014;18
11/10/2014;5.6
12/10/2014;11.2
13/10/2014;1
14/10/2014;27.2
15/10/2014;
16/10/2014;0
17/10/2014;0.1
18/10/2014;0
19/10/2014;0
20/10/2014;0
21/10/2014;0
22/10/2014;0
23/10/2014;0
24/10/2014;
25/10/2014;0
26/10/2014;
27/10/2014;0
28/10/2014;0
29/10/2014;0
30/10/2014;0
31/10/2014;0
01/11/2014;0
02/11/2014;0
03/11/2014;0
04/11/2014;
05/11/2014;0
06/11/2014;0
07/11/2014;5.7
08/11/2014;6.6
09/11/2014;0.1
10/11/2014;0
11/11/2014;25.2
12/11/2014;0
13/11/2014;
14/11/2014;22.8
15/11/2014;0.5
16/11/2014;0
17/11/2014;0
18/11/2014;0
19/11/2014;0
20/11/2014;0
21/11/2014;0
22/11/2014;0
23/11/2014;2.2
24/11/2014;2.9
25/11/2014;0
26/11/2014;1.6
27/11/2014;27.2
28/11/2014;17.7
29/11/2014;0.1
30/11/2014;0.1
01/12/2014;0
02/12/2014;
03/12/2014;0.5
04/12/2014;0.2
05/12/2014;0
06/12/2014;0.1
07/12/2014;0
08/12/2014;0
09/12/2014;0
10/12/2014;0
11/12/2014;0
12/12/2014;0
13/12/2014;6.2
14/12/2014;2.3
15/12/2014;0.1
16/12/2014;0
17/12/2014;0
18/12/2014;0.3
19/12/2014;0.1
20/12/2014;0.2
21/12/2014;0.1
22/12/2014;0
23/12/2014;0
24/12/2014;0
25/12/2014;0
26/12/2014;0
27/12/2014;0
28/12/2014;0
29/12/2014;0
30/12/2014;0
31/12/2014;0
01/01/2015;0
02/01/2015;0
03/01/2015;0
04/01/2015;0
05/01/2015;0
06/01/2015;0
07/01/2015;0.3
08/01/2015;0
09/01/2015;0
10/01/2015;0
11/01/2015;0
12/01/2015;0
13/01/2015;0
14/01/2015;0
15/01/2015;0
16/01/2015;8.7
17/01/2015;0
18/01/2015;18.9
19/01/2015;0.9
20/01/2015;2.1
21/01/2015;0.2
22/01/2015;0
23/01/2015;0
24/01/2015;0
25/01/2015;0
26/01/2015;0
27/01/2015;0
28/01/2015;0
29/01/2015;0
30/01/2015;0
31/01/2015;7.8
01/02/2015;0
02/02/2015;0.5
03/02/2015;0.6
04/02/2015;6.1
05/02/2015;0
06/02/2015;0
07/02/2015;0.3
08/02/2015;0
09/02/2015;0
10/02/2015;
11/02/2015;0
12/02/2015;2.7
13/02/2015;
14/02/2015;0.1
15/02/2015;1.9
16/02/2015;0.1
17/02/2015;
18/02/2015;0
19/02/2015;0
20/02/2015;0
21/02/2015;0.8
22/02/2015;0
23/02/2015;0
24/02/2015;0
25/02/2015;0
26/02/2015;0
27/02/2015;0
28/02/2015;0
01/03/2015;0
02/03/2015;0
03/03/2015;0
04/03/2015;0
05/03/2015;0
06/03/2015;0
07/03/2015;0
08/03/2015;0
09/03/2015;0
10/03/2015;0
11/03/2015;0
12/03/2015;
13/03/2015;0
14/03/2015;0
15/03/2015;0
16/03/2015;0
17/03/2015;4.8
18/03/2015;1.4
19/03/2015;9
20/03/2015;7.3
21/03/2015;
22/03/2015;
23/03/2015;4.1
24/03/2015;1.2
25/03/2015;0
26/03/2015;
27/03/2015;
28/03/2015;0
29/03/2015;0
30/03/2015;0
31/03/2015;0
01/04/2015;0
02/04/2015;0
03/04/2015;0
04/04/2015;0
05/04/2015;0
06/04/2015;0.4
07/04/2015;0
08/04/2015;0
09/04/2015;0
10/04/2015;0
11/04/2015;0
12/04/2015;0
13/04/2015;
14/04/2015;
15/04/2015;
16/04/2015;3.3
17/04/2015;0.3
18/04/2015;0
19/04/2015;0
20/04/2015;0
21/04/2015;1.4
22/04/2015;0
23/04/2015;0
24/04/2015;0
25/04/2015;1.1
26/04/2015;16.4
27/04/2015;0
28/04/2015;0
29/04/2015;0
30/04/2015;0
01/05/2015;0
02/05/2015;0
03/05/2015;0
04/05/2015;0.1
05/05/2015;0.2
06/05/2015;
07/05/2015;
08/05/2015;
09/05/2015;
10/05/2015;
11/05/2015;
12/05/2015;
13/05/2015;
14/05/2015;
15/05/2015;0
16/05/2015;0
17/05/2015;0
18/05/2015;0
19/05/2015;0.4
20/05/2015;3.3
21/05/2015;0
22/05/2015;0
23/05/2015;0
24/05/2015;0
25/05/2015;0
26/05/2015;0
27/05/2015;0
28/05/2015;0
29/05/2015;0
30/05/2015;0
31/05/2015;0
01/06/2015;0
02/06/2015;0
03/06/2015;0
04/06/2015;0
05/06/2015;0
06/06/2015;0
07/06/2015;0
08/06/2015;0
09/06/2015;0
10/06/2015;0
11/06/2015;0
12/06/2015;0
13/06/2015;0
14/06/2015;0
15/06/2015;5
16/06/2015;0
17/06/2015;0
18/06/2015;0
19/06/2015;0
20/06/2015;0
21/06/2015;0
22/06/2015;0
23/06/2015;0
24/06/2015;0
25/06/2015;0
26/06/2015;0
27/06/2015;0
28/06/2015;0
29/06/2015;0
30/06/2015;0
01/07/2015;0
02/07/2015;0
03/07/2015;0
04/07/2015;
05/07/2015;0
06/07/2015;0
07/07/2015;0
08/07/2015;0
09/07/2015;0
10/07/2015;0
11/07/2015;0
12/07/2015;0
13/07/2015;0
14/07/2015;0
15/07/2015;0
16/07/2015;0
17/07/2015;0.3
18/07/2015;0
19/07/2015;0
20/07/2015;0
21/07/2015;0
22/07/2015;0
23/07/2015;0
24/07/2015;0
25/07/2015;0
26/07/2015;0
27/07/2015;0
28/07/2015;0
29/07/2015;0
30/07/2015;0
31/07/2015;0
01/08/2015;0
02/08/2015;
03/08/2015;0
04/08/2015;0
05/08/2015;0
06/08/2015;0
07/08/2015;0
08/08/2015;6.1
09/08/2015;0
10/08/2015;0.2
11/08/2015;0
12/08/2015;0
13/08/2015;0
14/08/2015;0
15/08/2015;0
16/08/2015;0
17/08/2015;0
18/08/2015;0
19/08/2015;
20/08/2015;
21/08/2015;0
22/08/2015;0
23/08/2015;0
24/08/2015;0
25/08/2015;0
26/08/2015;0
27/08/2015;0
28/08/2015;0
29/08/2015;0
30/08/2015;0.2
31/08/2015;0
01/09/2015;0
02/09/2015;0
03/09/2015;0
04/09/2015;0
05/09/2015;0.6
06/09/2015;10.3
07/09/2015;25.8
08/09/2015;0
09/09/2015;
10/09/2015;0
11/09/2015;0
12/09/2015;0
13/09/2015;0
14/09/2015;0
15/09/2015;0
16/09/2015;6.8
17/09/2015;4
18/09/2015;0
19/09/2015;0
20/09/2015;0
21/09/2015;0
22/09/2015;0
23/09/2015;0
24/09/2015;0
25/09/2015;0
26/09/2015;0
27/09/2015;0
28/09/2015;0
29/09/2015;0.8
30/09/2015;0.4
01/10/2015;0
02/10/2015;0
03/10/2015;0
04/10/2015;0
05/10/2015;10.5
06/10/2015;
07/10/2015;0
08/10/2015;
09/10/2015;0
10/10/2015;1.3
11/10/2015;9.3
12/10/2015;0.6
13/10/2015;0.8
14/10/2015;0.2
15/10/2015;0
16/10/2015;0
17/10/2015;23.4
18/10/2015;34.7
19/10/2015;2.8
20/10/2015;0
21/10/2015;0
22/10/2015;0
23/10/2015;0
24/10/2015;0
25/10/2015;0
26/10/2015;
27/10/2015;
28/10/2015;
29/10/2015;
30/10/2015;
31/10/2015;
01/11/2015;
02/11/2015;
03/11/2015;
04/11/2015;0
05/11/2015;0
06/11/2015;0
07/11/2015;0
08/11/2015;0
09/11/2015;0
10/11/2015;0
11/11/2015;0
12/11/2015;0
13/11/2015;0
14/11/2015;0
15/11/2015;0
16/11/2015;0
17/11/2015;0
18/11/2015;0
19/11/2015;0
20/11/2015;
21/11/2015;0
22/11/2015;0
23/11/2015;0
24/11/2015;0
25/11/2015;0
26/11/2015;0
27/11/2015;0
28/11/2015;0
29/11/2015;0
30/11/2015;0
01/12/2015;0
02/12/2015;0
03/12/2015;0
04/12/2015;0
05/12/2015;0
06/12/2015;0
07/12/2015;0
08/12/2015;0
09/12/2015;0
10/12/2015;0
11/12/2015;0
12/12/2015;0
13/12/2015;1
14/12/2015;0
15/12/2015;0
16/12/2015;
17/12/2015;0
18/12/2015;0
19/12/2015;0
20/12/2015;0
21/12/2015;
22/12/2015;0
23/12/2015;0
24/12/2015;0
25/12/2015;0
26/12/2015;0
27/12/2015;0
28/12/2015;0
29/12/2015;0.6
30/12/2015;0
31/12/2015;0.1
01/01/2016;1.1
02/01/2016;0.6
03/01/2016;0.8
04/01/2016;1.7
05/01/2016;21.4
06/01/2016;0
07/01/2016;0
08/01/2016;0
09/01/2016;17.2
10/01/2016;0.1
11/01/2016;8.7
12/01/2016;0
13/01/2016;0
14/01/2016;0
15/01/2016;0.4
16/01/2016;0
17/01/2016;0
18/01/2016;0
19/01/2016;0
20/01/2016;4.7
21/01/2016;0.2
22/01/2016;0
23/01/2016;0
24/01/2016;0
25/01/2016;0
26/01/2016;2
27/01/2016;0
28/01/2016;0
29/01/2016;0
30/01/2016;0
31/01/2016;0
01/02/2016;0
02/02/2016;0
03/02/2016;0
04/02/2016;0
05/02/2016;0
06/02/2016;0
07/02/2016;3.6
08/02/2016;0
09/02/2016;0
10/02/2016;0.1
11/02/2016;
12/02/2016;1.7
13/02/2016;0.9
14/02/2016;0.6
15/02/2016;
16/02/2016;0
17/02/2016;0
18/02/2016;5.3
19/02/2016;0
20/02/2016;0
21/02/2016;0
22/02/2016;0
23/02/2016;0
24/02/2016;1.6
25/02/2016;0
26/02/2016;10.5
27/02/2016;0
28/02/2016;0
29/02/2016;0
01/03/2016;0
02/03/2016;0
03/03/2016;0
04/03/2016;0
05/03/2016;0
06/03/2016;0
07/03/2016;0.8
08/03/2016;0
09/03/2016;0
10/03/2016;0
11/03/2016;0
12/03/2016;0
13/03/2016;0
14/03/2016;0
15/03/2016;1.6
16/03/2016;3.5
17/03/2016;0
18/03/2016;0
19/03/2016;4.5
20/03/2016;4.6
21/03/2016;8
22/03/2016;0.8
23/03/2016;0.5
24/03/2016;0
25/03/2016;0
26/03/2016;0
27/03/2016;0
28/03/2016;0
29/03/2016;0
30/03/2016;0
31/03/2016;0
01/04/2016;0
02/04/2016;0
03/04/2016;0
04/04/2016;32.2
05/04/2016;0
06/04/2016;0
07/04/2016;0
08/04/2016;
09/04/2016;0
10/04/2016;0.2
11/04/2016;
12/04/2016;8.9
13/04/2016;2.2
14/04/2016;0
15/04/2016;0
16/04/2016;2.5
17/04/2016;3.5
18/04/2016;0
19/04/2016;24
20/04/2016;4.5
21/04/2016;0
22/04/2016;0
23/04/2016;0
24/04/2016;0
25/04/2016;0
26/04/2016;0
27/04/2016;0
28/04/2016;0
29/04/2016;0
30/04/2016;0.5
01/05/2016;0
02/05/2016;0
03/05/2016;0
04/05/2016;0
05/05/2016;0.2
06/05/2016;13.1
07/05/2016;0.5
08/05/2016;31.9
09/05/2016;10.4
10/05/2016;13.8
11/05/2016;9.4
12/05/2016;29.9
13/05/2016;1.6
14/05/2016;0
15/05/2016;0
16/05/2016;0
17/05/2016;0
18/05/2016;0
19/05/2016;0
20/05/2016;0
21/05/2016;0
22/05/2016;0
23/05/2016;0
24/05/2016;0
25/05/2016;0
26/05/2016;0
27/05/2016;0
28/05/2016;5
29/05/2016;0
30/05/2016;0
31/05/2016;0
01/06/2016;0
02/06/2016;0
03/06/2016;0
04/06/2016;0
05/06/2016;0
06/06/2016;0
07/06/2016;0
08/06/2016;0
09/06/2016;0
10/06/2016;0
11/06/2016;0
12/06/2016;0
13/06/2016;0
14/06/2016;0
15/06/2016;0
16/06/2016;0
17/06/2016;0
18/06/2016;0
19/06/2016;0
20/06/2016;0
21/06/2016;0
22/06/2016;0
23/06/2016;0
24/06/2016;0
25/06/2016;0
26/06/2016;0
27/06/2016;0
28/06/2016;0
29/06/2016;0
30/06/2016;0
01/07/2016;0
02/07/2016;0
03/07/2016;0
04/07/2016;0
05/07/2016;0
06/07/2016;0
07/07/2016;0.2
08/07/2016;0
09/07/2016;0
10/07/2016;0
11/07/2016;0
12/07/2016;0
13/07/2016;0
14/07/2016;0
15/07/2016;0
16/07/2016;
17/07/2016;0
18/07/2016;0
19/07/2016;0.1
20/07/2016;0
21/07/2016;0
22/07/2016;0
23/07/2016;0
24/07/2016;0
25/07/2016;0
26/07/2016;0
27/07/2016;0
28/07/2016;0
29/07/2016;0
30/07/2016;0
31/07/2016;0
01/08/2016;0
02/08/2016;0
03/08/2016;0
04/08/2016;0
05/08/2016;0
06/08/2016;0
07/08/2016;0
08/08/2016;0
09/08/2016;0
10/08/2016;0
11/08/2016;0
12/08/2016;0
13/08/2016;0
14/08/2016;0
15/08/2016;0
16/08/2016;2.2
17/08/2016;0
18/08/2016;0
19/08/2016;0
20/08/2016;0
21/08/2016;0
22/08/2016;0
23/08/2016;0
24/08/2016;0
25/08/2016;0
26/08/2016;0
27/08/2016;0
28/08/2016;0
29/08/2016;0
30/08/2016;0
31/08/2016;0
01/09/2016;0
02/09/2016;0
03/09/2016;0
04/09/2016;0
05/09/2016;0
06/09/2016;0
07/09/2016;0
08/09/2016;0
09/09/2016;
10/09/2016;0
11/09/2016;0
12/09/2016;0
13/09/2016;2.9
14/09/2016;0
15/09/2016;0
16/09/2016;0
17/09/2016;0
18/09/2016;0
19/09/2016;0
20/09/2016;0
21/09/2016;0
22/09/2016;0
23/09/2016;0
24/09/2016;0
25/09/2016;0
26/09/2016;0
27/09/2016;0
28/09/2016;0
29/09/2016;0
30/09/2016;0
01/10/2016;0
02/10/2016;0
03/10/2016;0
04/10/2016;0
05/10/2016;0
06/10/2016;0
07/10/2016;0
08/10/2016;0
09/10/2016;0
10/10/2016;0
11/10/2016;0
12/10/2016;10.2
13/10/2016;18.2
14/10/2016;0
15/10/2016;0
16/10/2016;0
17/10/2016;0
18/10/2016;0
19/10/2016;0
20/10/2016;0
21/10/2016;0
22/10/2016;5.7
23/10/2016;34
24/10/2016;17.4
25/10/2016;0
26/10/2016;0
27/10/2016;0
28/10/2016;0
29/10/2016;0
30/10/2016;0
31/10/2016;0
01/11/2016;0
02/11/2016;0
03/11/2016;0
04/11/2016;0.4
05/11/2016;36.6
06/11/2016;0.3
07/11/2016;0
08/11/2016;0
09/11/2016;4
10/11/2016;0
11/11/2016;0
12/11/2016;0
13/11/2016;0
14/11/2016;0
15/11/2016;0
16/11/2016;0
17/11/2016;0
18/11/2016;
19/11/2016;0
20/11/2016;2.4
21/11/2016;19.7
22/11/2016;1.8
23/11/2016;0
24/11/2016;0
25/11/2016;22.2
26/11/2016;
27/11/2016;
28/11/2016;
29/11/2016;
30/11/2016;
01/12/2016;
02/12/2016;0
03/12/2016;7.9
04/12/2016;1.5
05/12/2016;1.6
06/12/2016;0
07/12/2016;0
08/12/2016;0
09/12/2016;0
10/12/2016;0
11/12/2016;0
12/12/2016;0
13/12/2016;0
14/12/2016;15.7
15/12/2016;0.1
16/12/2016;12.7
17/12/2016;0.5
18/12/2016;0
19/12/2016;0
20/12/2016;0
21/12/2016;0
22/12/2016;0
23/12/2016;0
24/12/2016;0
25/12/2016;0
26/12/2016;0
27/12/2016;0
28/12/2016;0
29/12/2016;0
30/12/2016;0
31/12/2016;0
01/01/2017;0
02/01/2017;0
03/01/2017;0
04/01/2017;0
05/01/2017;0
06/01/2017;0
07/01/2017;0
08/01/2017;0
09/01/2017;0
10/01/2017;0
11/01/2017;0
12/01/2017;0
13/01/2017;0
14/01/2017;0
15/01/2017;0
16/01/2017;0
17/01/2017;0
18/01/2017;0
19/01/2017;0
20/01/2017;0
21/01/2017;0
22/01/2017;0
23/01/2017;0
24/01/2017;0
25/01/2017;0
26/01/2017;
27/01/2017;19.6
28/01/2017;0
29/01/2017;0
30/01/2017;0
31/01/2017;0
01/02/2017;0
02/02/2017;1.5
03/02/2017;0
04/02/2017;1.4
05/02/2017;11.8
06/02/2017;0
07/02/2017;0
08/02/2017;0
09/02/2017;0
10/02/2017;2.8
11/02/2017;0.2
12/02/2017;5.4
13/02/2017;2.1
14/02/2017;0
16/02/2017;0
17/02/2017;0
18/02/2017;0.5
19/02/2017;1.5
20/02/2017;0
21/02/2017;0
22/02/2017;0
23/02/2017;2.1
24/02/2017;0.1
25/02/2017;0
26/02/2017;0
27/02/2017;0
28/02/2017;0
01/03/2017;0
02/03/2017;0
03/03/2017;4.8
04/03/2017;34.8
05/03/2017;0.3
06/03/2017;0
07/03/2017;0
08/03/2017;0
09/03/2017;0
10/03/2017;0
11/03/2017;0
12/03/2017;0
13/03/2017;2.1
14/03/2017;3
15/03/2017;0
16/03/2017;0
17/03/2017;1.3
18/03/2017;0
19/03/2017;0
20/03/2017;0
21/03/2017;0
22/03/2017;3.7
23/03/2017;0.1
24/03/2017;0
25/03/2017;2.2
26/03/2017;5.1
27/03/2017;12.7
28/03/2017;0
29/03/2017;0
30/03/2017;0
31/03/2017;0
01/04/2017;0
02/04/2017;0
03/04/2017;0
04/04/2017;0
05/04/2017;0
06/04/2017;0
07/04/2017;0
08/04/2017;0
09/04/2017;0
10/04/2017;0
11/04/2017;0
12/04/2017;0
13/04/2017;0
14/04/2017;0
15/04/2017;0
16/04/2017;0
17/04/2017;0
18/04/2017;0
19/04/2017;0
20/04/2017;0
21/04/2017;0.4
22/04/2017;0
23/04/2017;0
24/04/2017;0
25/04/2017;0
26/04/2017;0
27/04/2017;4.6
28/04/2017;32
29/04/2017;14.5
30/04/2017;0
01/05/2017;0
02/05/2017;0
03/05/2017;0
04/05/2017;0
05/05/2017;0.1
06/05/2017;0
07/05/2017;0
08/05/2017;0
09/05/2017;0
10/05/2017;0
11/05/2017;0
12/05/2017;0
13/05/2017;0
14/05/2017;0
15/05/2017;0
16/05/2017;0
17/05/2017;0
18/05/2017;0
19/05/2017;0
20/05/2017;0
21/05/2017;0
22/05/2017;0
23/05/2017;0
24/05/2017;0
25/05/2017;0
26/05/2017;0
27/05/2017;0
28/05/2017;0
29/05/2017;0
30/05/2017;0
31/05/2017;0
01/06/2017;0
02/06/2017;0
03/06/2017;0
04/06/2017;0
05/06/2017;0
06/06/2017;0
07/06/2017;
08/06/2017;0
09/06/2017;0
10/06/2017;0
11/06/2017;0
12/06/2017;0
13/06/2017;0
14/06/2017;0
15/06/2017;0
16/06/2017;0
17/06/2017;0
18/06/2017;0
19/06/2017;0
20/06/2017;0
21/06/2017;0
22/06/2017;0
23/06/2017;0
24/06/2017;0
25/06/2017;0
26/06/2017;0
27/06/2017;0
28/06/2017;0
29/06/2017;0
30/06/2017;0
01/07/2017;0
02/07/2017;0
03/07/2017;0
04/07/2017;0
05/07/2017;0
06/07/2017;8.5
07/07/2017;0
08/07/2017;0
09/07/2017;0
10/07/2017;0
11/07/2017;0
12/07/2017;0
13/07/2017;0
14/07/2017;0
15/07/2017;0
16/07/2017;0
17/07/2017;0
18/07/2017;0
19/07/2017;0
20/07/2017;0
21/07/2017;0
22/07/2017;0
23/07/2017;0
24/07/2017;0
25/07/2017;0
26/07/2017;0
27/07/2017;0
28/07/2017;0
29/07/2017;0
30/07/2017;0
31/07/2017;0
01/08/2017;0
02/08/2017;0
03/08/2017;0
04/08/2017;0
05/08/2017;0
06/08/2017;0
07/08/2017;0
08/08/2017;0
09/08/2017;0
10/08/2017;0
11/08/2017;0
12/08/2017;0
13/08/2017;0
14/08/2017;0
15/08/2017;0
16/08/2017;0
17/08/2017;0
18/08/2017;0
19/08/2017;0
20/08/2017;0
21/08/2017;0
22/08/2017;0
23/08/2017;0
24/08/2017;0
25/08/2017;0
26/08/2017;0
27/08/2017;1.4
28/08/2017;6.9
29/08/2017;0
30/08/2017;0
31/08/2017;
01/09/2017;0
02/09/2017;0
03/09/2017;0
04/09/2017;0
05/09/2017;0
06/09/2017;0
07/09/2017;0
08/09/2017;0
09/09/2017;0
10/09/2017;0
11/09/2017;0
12/09/2017;0
13/09/2017;0
14/09/2017;0
15/09/2017;0
16/09/2017;0
17/09/2017;0
18/09/2017;0
19/09/2017;0
20/09/2017;0
21/09/2017;0
22/09/2017;0
23/09/2017;0
24/09/2017;0
25/09/2017;0
26/09/2017;0
27/09/2017;0
28/09/2017;0
29/09/2017;0
30/09/2017;0
01/10/2017;0
02/10/2017;0.1
